County,State,Population
Addison County,VT,"36,777"
Bennington County,VT,"35,470"
Caledonia County,VT,"29,993"
Chittenden County,VT,"163,774"
Essex County,VT,"6,163"
Franklin County,VT,"49,402"
Grand Isle County,VT,"7,235"
Lamoille County,VT,"25,362"
Orange County,VT,"28,892"
Orleans County,VT,"27,037"
Rutland County,VT,"58,191"
Washington County,VT,"58,409"
Windham County,VT,"42,222"
Windsor County,VT,"55,062"
Bristol County,RI,"48,479"
Kent County,RI,"164,292"
Newport County,RI,"82,082"
Providence County,RI,"638,931"
Washington County,RI,"125,577"
Belknap County,NH,"61,303"
Carroll County,NH,"48,910"
Cheshire County,NH,"76,085"
Coos County,NH,"31,563"
Grafton County,NH,"89,886"
Hillsborough County,NH,"417,025"
Merrimack County,NH,"151,391"
Rockingham County,NH,"309,769"
Strafford County,NH,"130,633"
Sullivan County,NH,"43,146"
Barnstable County,MA,"212,990"
Berkshire County,MA,"124,944"
Bristol County,MA,"565,217"
Dukes County,MA,"17,332"
Essex County,MA,"789,034"
Franklin County,MA,"70,180"
Hampden County,MA,"466,372"
Hampshire County,MA,"160,830"
Middlesex County,MA,"1,611,699"
Nantucket County,MA,"11,399"
Norfolk County,MA,"706,775"
Plymouth County,MA,"521,202"
Suffolk County,MA,"803,907"
Worcester County,MA,"830,622"
Androscoggin County,ME,"108,277"
Aroostook County,ME,"67,055"
Cumberland County,ME,"295,003"
Franklin County,ME,"30,199"
Hancock County,ME,"54,987"
Kennebec County,ME,"122,302"
Knox County,ME,"39,772"
Lincoln County,ME,"34,634"
Oxford County,ME,"57,975"
Penobscot County,ME,"152,148"
Piscataquis County,ME,"16,785"
Sagadahoc County,ME,"35,856"
Somerset County,ME,"50,484"
Waldo County,ME,"39,715"
Washington County,ME,"31,379"
York County,ME,"207,641"
Fairfield County,CT,"943,332"
Hartford County,CT,"891,720"
Litchfield County,CT,"180,333"
Middlesex County,CT,"162,436"
New Haven County,CT,"854,757"
New London County,CT,"265,206"
Tolland County,CT,"150,721"
Windham County,CT,"116,782"
